,pl_name,hostname,sy_snum,sy_pnum,pl_type,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,se_companion,ss_companion,gg_companion
143,HD 5319 c,HD 5319,1,2,CJ,872.2,1.93,334.67499,1.053,0.183,,4871.0,4.06,1.27,,0,0,1
144,HD 50499 b,HD 50499,1,2,CJ,2447.1,3.833,519.96988,1.636,0.266,,6102.0,1.35,1.25,0.26,0,0,0
145,HD 50499 c,HD 50499,1,2,CJ,8619.9,9.02,931.2419,2.93,0.0,G1 V,6099.0,1.42,1.31,0.38,0,0,1
146,HD 47366 b,HD 47366,1,2,CJ,360.08,1.207,661.71874,2.082,0.071,K1 III,4866.0,7.3,1.81,-0.02,0,0,0
147,HD 47366 c,HD 47366,1,2,CJ,677.53,1.84,483.73484,1.522,0.161,K1 III,4866.0,7.3,1.81,-0.02,0,0,1
148,HD 4732 b,HD 4732,2,2,CJ,371.74,1.129,631.20722,1.986,0.266,K0 IV,4898.0,5.03,1.39,-0.01,0,0,0
149,HD 4732 c,HD 4732,2,2,CJ,3184.2,4.725,1069.49259,3.365,0.187,K0 IV,4898.0,5.03,1.39,-0.01,0,0,1
150,HD 45364 b,HD 45364,1,2,CS,225.79,0.6793,60.16492,0.1893,0.067,K0 V,5466.0,0.89,0.82,,0,0,0
151,HD 45364 c,HD 45364,1,2,WJ,345.43,0.902,174.4878,0.549,0.019,K0 V,5466.0,0.89,0.82,,0,1,0
152,HD 4203 b,HD 4203,1,2,CJ,431.88,1.17,708.7609,2.23,0.52,,5596.0,1.42,1.25,0.4,0,0,0
153,HD 4203 c,HD 4203,1,2,CJ,6700.0,6.95,689.66,2.17,0.24,,5582.0,1.5,0.99,0.34,0,0,1
154,HD 39091 b,HD 39091,1,3,CJ,2088.75851,3.311,3917.23512,12.325,0.642,,,,1.1,,1,0,0
155,pi Men c,HD 39091,1,3,SE,6.26791,0.069,3.49611,0.011,0.077,,,,1.1,,0,0,0
156,pi Men d,HD 39091,1,3,SE,124.64,2.0935574129052394,13.38,0.0421,0.22,,5998.0,1.19,1.07,0.09,0,0,0
157,HD 38529 b,HD 38529,2,2,WJ,14.3099,0.115,206.58846,0.65,0.256,,,,0.98,,0,0,0
158,HD 38529 c,HD 38529,2,2,CJ,2127.60566,3.226,3299.05886,10.38,0.357,,,,0.98,,0,0,1
159,HD 37605 b,HD 37605,1,2,WJ,55.01292,0.277,854.9627,2.69,0.6745,K0,5329.0,0.91,0.94,0.27,0,0,0
160,HD 37605 c,HD 37605,1,2,CJ,2720.0,3.74,1013.8777,3.19,0.03,K0,5329.0,0.91,0.94,0.27,0,0,1
161,HD 37124 b,HD 37124,1,3,WJ,154.378,0.53364,214.53525,0.675,0.054,G4 V,,,0.85,-0.44,0,0,0
162,HD 37124 c,HD 37124,1,3,CJ,885.5,1.71,207.22516,0.652,0.125,G4 V,,,0.85,-0.44,0,0,1
163,HD 37124 d,HD 37124,1,3,CJ,1862.0,2.807,221.20968,0.696,0.16,G4 V,,,0.85,-0.44,0,0,1
164,HD 34445 b,HD 34445,1,6,CJ,1049.0,2.07,260.6206,0.82,0.27,,5879.0,1.38,1.14,0.18,1,1,0
165,HD 34445 c,HD 34445,1,6,CS,214.67,0.7181,53.5,0.168,0.036,G0 V,5836.0,1.38,1.07,0.14,0,0,0
166,HD 34445 d,HD 34445,1,6,CS,117.87,0.4817,30.7,0.097,0.027,G0 V,5836.0,1.38,1.07,0.14,0,0,0
167,HD 34445 e,HD 34445,1,6,SE,49.175,0.2687,16.8,0.0529,0.09,G0 V,5836.0,1.38,1.07,0.14,0,0,0
168,HD 34445 f,HD 34445,1,6,CS,676.8,1.543,37.9,0.119,0.031,G0 V,5836.0,1.38,1.07,0.14,0,0,0
169,HD 34445 g,HD 34445,1,6,CS,5700.0,6.36,120.6,0.38,0.032,G0 V,5836.0,1.38,1.07,0.14,0,0,0
170,HD 33844 b,HD 33844,1,2,CJ,551.40002,1.6,638.8383,2.01,0.15,,4861.0,5.39,1.84,0.27,0,0,0
171,HD 33844 c,HD 33844,1,2,CJ,916.0,2.24,556.2025,1.75,0.13,K0 III,4861.0,5.29,1.78,0.27,0,0,1
172,HD 33142 b,HD 33142,1,3,CJ,330.0,1.074,400.46379,1.26,0.049,K0 III,5025.4,4.17,1.52,0.06,0,1,0
173,HD 33142 c,HD 33142,1,3,CJ,810.2,1.955,282.86728,0.89,0.081,K0 III,5025.4,4.17,1.52,0.06,0,1,1
174,HD 33142 d,HD 33142,1,3,CS,89.9,0.452,63.56568,0.2,0.191,K0 III,5025.4,4.17,1.52,0.06,0,0,0
175,HD 30177 b,HD 30177,1,2,CJ,2514.53422,3.604,2670.7121,8.403,0.207,,,,0.98,,0,0,0
176,HD 30177 c,HD 30177,1,2,CJ,12085.45186,10.258,1954.6447,6.15,0.039,,,,0.98,,0,0,1
177,HD 28185 b,HD 28185,1,2,CJ,385.52775,1.035,1855.16441,5.837,0.055,,,,0.99,,0,0,0
178,HD 28185 c,HD 28185,1,2,CJ,17417.92079,13.176,6241.83209,19.639,0.12,,,,0.99,,0,0,1
179,HD 27894 b,HD 27894,1,3,WJ,18.01939,0.125,196.73578,0.619,0.047,,,,0.81,,0,0,0
180,HD 27894 c,HD 27894,1,3,CS,36.07,0.198,51.48846,0.162,0.015,K2 V,,,0.8,0.3,0,0,0
181,HD 27894 d,HD 27894,1,3,CJ,5019.54244,5.362,2063.65985,6.493,0.343,,,,0.81,,0,1,1
182,HD 24040 b,HD 24040,1,2,CJ,3668.0,4.92,1226.8238,3.86,0.04,,5802.0,1.3,1.11,0.19,0,1,0
183,HD 24040 c,HD 24040,1,2,CS,515.4,1.3,63.88351,0.201,0.11,,5776.49,1.39,1.1,0.197,0,0,0
184,HD 219828 b,HD 219828,1,2,SE,3.83483,0.049,19.0697,0.06,0.091,,,,1.04,,0,0,0
185,HD 219828 c,HD 219828,1,2,CJ,4789.87297,5.657,5102.41725,16.054,0.811,,,,1.04,,1,0,0
186,HD 207832 b,HD 207832,3,2,WJ,160.07,0.586,177.9848,0.56,0.197,G5 V,5726.0,0.89,1.05,0.14,0,0,0
187,HD 207832 c,HD 207832,3,2,CJ,1155.7,2.112,232.0159,0.73,0.27,,5710.0,0.9,0.94,,0,0,1
188,HD 20782 b,HD 20782,2,5,CJ,597.0643,1.3649,472.83,1.4878,0.95,,5782.13,1.13,1.04,-0.054,0,0,0
189,HD 204313 b,HD 204313,1,3,CJ,2041.11539,3.185,1466.7781,4.615,0.1,,,,1.03,,1,0,0
190,HD 204313 c,HD 204313,1,3,SE,34.95875,0.211,17.16273,0.054,0.059,,,,1.03,,0,0,0
191,HD 204313 e,HD 204313,1,3,CJ,7325.64666,7.457,4868.17771,15.317,0.253,,,,1.03,,1,0,1
